Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1982 Q1,10.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1982 Q2,10.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1982 Q3,10.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1982 Q4,11.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1983 Q1,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1983 Q2,11.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1983 Q3,11.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1983 Q4,11.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1984 Q1,11.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1984 Q2,11.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1984 Q3,11.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1984 Q4,11.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1985 Q1,11.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1985 Q2,11.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1985 Q3,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1985 Q4,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1986 Q1,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1986 Q2,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1986 Q3,11.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1986 Q4,11.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1987 Q1,11.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1987 Q2,10.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1987 Q3,10.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1987 Q4,9.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1988 Q1,9.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1988 Q2,8.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1988 Q3,8.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1988 Q4,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1989 Q1,7.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1989 Q2,7.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1989 Q3,7.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1989 Q4,7.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1990 Q1,6.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1990 Q2,6.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1990 Q3,7.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1990 Q4,7.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1991 Q1,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1991 Q2,8.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1991 Q3,9.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1991 Q4,9.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1992 Q1,9.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1992 Q2,9.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1992 Q3,9.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1992 Q4,10.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1993 Q1,10.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1993 Q2,10.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1993 Q3,10.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1993 Q4,10.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1994 Q1,9.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1994 Q2,9.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1994 Q3,9.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1994 Q4,9.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1995 Q1,8.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1995 Q2,8.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1995 Q3,8.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1995 Q4,8.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1996 Q1,8.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1996 Q2,8.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1996 Q3,8.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1996 Q4,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1997 Q1,7.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1997 Q2,7.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1997 Q3,6.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1997 Q4,6.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1998 Q1,6.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1998 Q2,6.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1998 Q3,6.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1998 Q4,6.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1999 Q1,6.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1999 Q2,6.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1999 Q3,5.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,1999 Q4,5.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2000 Q1,5.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2000 Q2,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2000 Q3,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2000 Q4,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2001 Q1,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2001 Q2,5.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2001 Q3,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2001 Q4,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2002 Q1,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2002 Q2,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2002 Q3,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2002 Q4,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2003 Q1,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2003 Q2,4.9
